,Document1StepMutator,Document2StepMutator,DocumentMutator,EntropyWordMutator,SentenceMutator,SpanMutator,WordMutator
70-90%,90.0,13.333333333333334,65.51724137931035,10.0,66.66666666666666,80.0,83.33333333333334
50-70%,10.0,0.0,0.0,3.3333333333333335,26.666666666666668,16.666666666666664,16.666666666666664
<50%,0.0,0.0,0.0,0.0,6.666666666666667,3.3333333333333335,0.0
≥90%,0.0,86.66666666666667,34.48275862068966,86.66666666666667,0.0,0.0,0.0
