watermark_type,mutator,threshold,score_mean,score_std,ASR_fin,ASR_min,avg_final_internLM_quality,avg_final_watermark_score,avg_final_perplexity,avg_final_grammar_errors,avg_final_unique_bigrams
Adaptive,Document1StepMutator,49.42577,49.42577,3.365801,0.0,0.0,0.32332444465023347,70.93775717701149,30.09244811428735,0.45977011494252873,541.4367816091954
Adaptive,Document1StepMutator,52.791571,49.42577,3.365801,0.005780346820809301,0.005780346820809301,0.32332444465023347,70.93775717701149,30.09244811428735,0.45977011494252873,541.4367816091954
Adaptive,Document1StepMutator,56.157372,49.42577,3.365801,0.011627906976744207,0.011627906976744207,0.32332444465023347,70.93775717701149,30.09244811428735,0.45977011494252873,541.4367816091954
Adaptive,Document1StepMutator,59.523173,49.42577,3.365801,0.041916167664670656,0.048192771084337394,0.32332444465023347,70.93775717701149,30.09244811428735,0.45977011494252873,541.4367816091954
Adaptive,Document2StepMutator,49.42577,49.42577,3.365801,0.005649717514124242,0.005649717514124242,0.26654121313202245,73.39201536071434,27.480863764044944,8.0561797752809,580.3258426966293
Adaptive,Document2StepMutator,52.791571,49.42577,3.365801,0.017142857142857126,0.017142857142857126,0.26654121313202245,73.39201536071434,27.480863764044944,8.0561797752809,580.3258426966293
Adaptive,Document2StepMutator,56.157372,49.42577,3.365801,0.04705882352941182,0.053254437869822535,0.26654121313202245,73.39201536071434,27.480863764044944,8.0561797752809,580.3258426966293
Adaptive,Document2StepMutator,59.523173,49.42577,3.365801,0.053254437869822535,0.07878787878787874,0.26654121313202245,73.39201536071434,27.480863764044944,8.0561797752809,580.3258426966293
Adaptive,DocumentMutator,49.42577,49.42577,3.365801,0.051724137931034475,0.0892857142857143,0.004258452868852459,58.55183386411823,16.272148685377154,2.1147540983606556,464.3114754098361
Adaptive,DocumentMutator,52.791571,49.42577,3.365801,0.23232323232323238,0.2978723404255319,0.004258452868852459,58.55183386411823,16.272148685377154,2.1147540983606556,464.3114754098361
Adaptive,DocumentMutator,56.157372,49.42577,3.365801,0.45238095238095233,0.4878048780487805,0.004258452868852459,58.55183386411823,16.272148685377154,2.1147540983606556,464.3114754098361
Adaptive,DocumentMutator,59.523173,49.42577,3.365801,0.6944444444444444,0.6944444444444444,0.004258452868852459,58.55183386411823,16.272148685377154,2.1147540983606556,464.3114754098361
Adaptive,EntropyWordMutator,49.42577,49.42577,3.365801,0.0,0.0,-0.04748687744140625,82.45276139842139,78.01479774051242,19.0,608.3333333333334
Adaptive,EntropyWordMutator,52.791571,49.42577,3.365801,0.0,0.0,-0.04748687744140625,82.45276139842139,78.01479774051242,19.0,608.3333333333334
Adaptive,EntropyWordMutator,56.157372,49.42577,3.365801,0.0,0.0,-0.04748687744140625,82.45276139842139,78.01479774051242,19.0,608.3333333333334
Adaptive,EntropyWordMutator,59.523173,49.42577,3.365801,0.0,0.0,-0.04748687744140625,82.45276139842139,78.01479774051242,19.0,608.3333333333334
Adaptive,SentenceMutator,49.42577,49.42577,3.365801,0.005586592178770999,0.005586592178770999,0.24122416178385417,59.926045735677086,27.77638888888889,5.4222222222222225,602.2555555555556
Adaptive,SentenceMutator,52.791571,49.42577,3.365801,0.052631578947368474,0.10429447852760731,0.24122416178385417,59.926045735677086,27.77638888888889,5.4222222222222225,602.2555555555556
Adaptive,SentenceMutator,56.157372,49.42577,3.365801,0.1920529801324503,0.3533834586466166,0.24122416178385417,59.926045735677086,27.77638888888889,5.4222222222222225,602.2555555555556
Adaptive,SentenceMutator,59.523173,49.42577,3.365801,0.5126050420168067,0.5789473684210527,0.24122416178385417,59.926045735677086,27.77638888888889,5.4222222222222225,602.2555555555556
Adaptive,SpanMutator,49.42577,49.42577,3.365801,0.0,0.0,0.05982624400745739,67.21095189903721,44.33899651151715,11.242424242424242,616.060606060606
Adaptive,SpanMutator,52.791571,49.42577,3.365801,0.007633587786259555,0.007633587786259555,0.05982624400745739,67.21095189903721,44.33899651151715,11.242424242424242,616.060606060606
Adaptive,SpanMutator,56.157372,49.42577,3.365801,0.01538461538461533,0.01538461538461533,0.05982624400745739,67.21095189903721,44.33899651151715,11.242424242424242,616.060606060606
Adaptive,SpanMutator,59.523173,49.42577,3.365801,0.04761904761904767,0.04761904761904767,0.05982624400745739,67.21095189903721,44.33899651151715,11.242424242424242,616.060606060606
Adaptive,WordMutator,49.42577,49.42577,3.365801,0.0,0.0,0.00882687038845486,70.37171237998538,77.63983434041342,13.78888888888889,609.0888888888888
Adaptive,WordMutator,52.791571,49.42577,3.365801,0.0,0.0,0.00882687038845486,70.37171237998538,77.63983434041342,13.78888888888889,609.0888888888888
Adaptive,WordMutator,56.157372,49.42577,3.365801,0.0,0.0,0.00882687038845486,70.37171237998538,77.63983434041342,13.78888888888889,609.0888888888888
Adaptive,WordMutator,59.523173,49.42577,3.365801,0.0,0.0,0.00882687038845486,70.37171237998538,77.63983434041342,13.78888888888889,609.0888888888888
KGW,Document1StepMutator,-0.82778,-0.82778,1.047094772,0.005649717514124242,0.017142857142857126,0.2289000093267205,2.538979162807868,11.74122191011236,0.25842696629213485,491.44943820224717
KGW,Document1StepMutator,0.21931477199999994,-0.82778,1.047094772,0.017142857142857126,0.04705882352941182,0.2289000093267205,2.538979162807868,11.74122191011236,0.25842696629213485,491.44943820224717
KGW,Document1StepMutator,1.2664095439999998,-0.82778,1.047094772,0.08536585365853655,0.12658227848101267,0.2289000093267205,2.538979162807868,11.74122191011236,0.25842696629213485,491.44943820224717
