watermark,mutator,mean_perplexity,mean_words_edited,mean_grammar_errors,mean_internlm_quality,mean_approval_rate
Adaptive,DocumentMutator,,,,-0.28047591455183024,0.7627870017983355
Adaptive,Document1StepMutator,31.585656831960534,90.21917211328976,4.666339869281046,0.03463742455814855,0.37941176470588234
Adaptive,Document2StepMutator,24.32992408769063,119.13540305010893,8.513943355119826,0.273498714382789,0.47396514161220044
Adaptive,SentenceMutator,30.550150767543858,43.79342105263158,6.135891812865497,0.2402494664201265,0.7315058479532164
Adaptive,SpanMutator,56.11442924210214,12.24863315696649,12.745238095238095,0.0024991468456538636,0.5365079365079365
Adaptive,WordMutator,75.03745765597203,2.21818585052118,14.591694388999779,0.01719532118466602,0.7307163450876025
Adaptive,EntropyWordMutator,,,,-0.035751239966140734,0.7858130870312117
KGW,DocumentMutator,12.257633388912046,215.77761567319718,8.169445602334306,-0.18324002006803033,0.16215089620675283
KGW,Document1StepMutator,12.408257591230937,94.96067538126361,,0.0389211216952108,0.36949891067538126
KGW,Document2StepMutator,9.768635167362836,109.9862271393091,4.116730638970422,0.3367788886334544,0.45879431022804246
KGW,SentenceMutator,16.17452942251462,27.310087719298245,2.8309941520467836,0.3787882804401103,0.8797514619883041
KGW,SpanMutator,12.916589803365593,9.569356261022927,3.7503968253968254,0.044252717780555895,0.7244708994708995
KGW,WordMutator,23.274046075698354,2.10938123752495,5.950510090929253,0.04335371274995227,0.819294743845642
KGW,EntropyWordMutator,,,,0.013649077408982508,0.8160456864049679
SIR,DocumentMutator,10.219520186546841,216.1210239651416,10.008278867102396,-0.4816776103398771,0.16318082788671023
SIR,Document1StepMutator,8.73817943717121,181.41654710664753,2.116810138689622,0.0872239794336211,0.5043041606886657
SIR,Document2StepMutator,10.478355894530749,86.49043522916934,2.961612530491719,0.01646861457384211,0.6908602150537635
SIR,SentenceMutator,16.185066017909357,22.878947368421052,4.814619883040936,0.00038534332648410723,0.5941520467836258
SIR,SpanMutator,12.599499834656084,4.315564373897708,6.921119929453263,-0.270537558637248,0.7543650793650793
SIR,WordMutator,23.00239183092149,1.0388667110223997,9.966300731869595,-0.26694299338501454,0.8358394322466178
SIR,EntropyWordMutator,16.747958336798625,1.094899090707474,9.2096917276558,-0.2627304260428254,0.8502883122643602
