watermark_type,mutator,fraction_index,ideal_step,count_at_fraction,mean_score,t_lower,t_upper,b_lower,b_upper
KGW,SentenceMutator,5,75,90,0.8993947188518127,0.6555884391434772,1.1432009985601481,0.6658731631840485,1.142223811710913
KGW,SentenceMutator,6,90,90,0.7118781233076745,0.4502294868687779,0.9735267597465711,0.4606005693572031,0.9710639206785772
KGW,SentenceMutator,7,105,90,0.7174912993043885,0.4565401208978949,0.978442477710882,0.4712053546316602,0.9779296470419067
KGW,SentenceMutator,8,120,90,0.6990772915844807,0.43689847558285366,0.9612561075861078,0.45101682321539033,0.9587622606765205
KGW,SentenceMutator,9,135,90,0.47918944449768375,0.25375814865948904,0.7046207403358784,0.25874055419310193,0.6956352549287613
KGW,SentenceMutator,10,150,90,0.5065360281665356,0.2138454629145849,0.7992265934184863,0.2236107294448981,0.8033037125878382
KGW,SpanMutator,0,0,90,5.316205227977918,5.0585207477175915,5.573889708238245,5.07237751134477,5.572273892044604
KGW,SpanMutator,1,25,90,4.414116622422511,4.143940996931553,4.6842922479134685,4.159238992994566,4.687889245198383
KGW,SpanMutator,2,50,90,3.7605255644378213,3.474835919570607,4.046215209305036,3.4883137892581995,4.048948595135382
KGW,SpanMutator,3,75,90,3.2910024066420545,2.991447585158924,3.590557228125185,3.0085594035280683,3.5929451271565376
KGW,SpanMutator,4,100,90,2.9907592495787623,2.706099734468515,3.2754187646890096,2.718721882191877,3.2728529061085205
KGW,SpanMutator,5,125,90,2.621478412718832,2.334696742961874,2.9082600824757905,2.3519031164294377,2.904109254800568
KGW,SpanMutator,6,150,90,2.2349808043801205,1.9418475099849313,2.5281140987753097,1.9593206437676218,2.528936783187926
KGW,SpanMutator,7,175,90,2.029354524771174,1.7310895637742316,2.3276194857681167,1.7482010188155928,2.3318513407304455
KGW,SpanMutator,8,200,90,1.8717591853425002,1.5683256249102333,2.1751927457747673,1.5778604815988488,2.1786996874923776
KGW,SpanMutator,9,225,90,1.7549977293315253,1.4519976327195057,2.057997825943545,1.4649974904194563,2.0590262522939278
KGW,SpanMutator,10,250,90,1.5672670563121966,1.2726825143693192,1.861851598255074,1.2871725991865246,1.8623272387037209
KGW,WordMutator,0,0,90,5.3162052279779175,5.058520747717591,5.573889708238244,5.072968231672492,5.5789212449724666
